all electricity generation Gwh,all renewables 2020 or latest year,excluding hydropower,all renewables 2015,% difference 2015 vs 2020,non-hydro renewables Gwh
1.6,13.7,13.7,3.4,10.31,0.22
0.0,0.0,0.0,4.3,-4.3,0.0
0.3,1.3,1.3,30.7,2.04,0.0
18.0,79.5,0.8,87.0,-7.46,0.14
68.5,6.3,6.3,2.0,4.3,4.29
1.0,96.0,4.4,97.9,-1.89,0.05
0.6,4.1,4.1,0.8,3.33,0.02
80.1,48.3,22.3,44.7,3.57,17.89
2.1,0.2,0.2,0.0,0.24,0.01
1.0,50.0,6.0,59.0,-8.98,0.06
1.6,6.0,6.0,0.1,5.92,0.1
1.7,12.5,6.1,9.9,2.55,0.11
0.2,3.2,3.1,2.6,0.57,0.01
279.1,6.6,4.4,4.4,2.22,12.28
271.9,44.2,26.6,40.9,3.3,72.45
0.1,11.1,0.0,9.1,2.02,0.0
553.7,23.7,12.0,16.8,6.89,66.36
0.0,0.0,0.0,30.7,2.04,0.0
4.6,60.0,51.2,51.6,8.42,2.37
183.0,9.6,3.0,8.7,0.89,5.46
0.6,1.2,1.2,30.7,2.04,0.01
0.1,5.3,5.3,30.7,2.04,0.01
29.3,21.0,0.2,19.0,2.04,0.07
1.1,57.9,7.0,46.2,11.7,0.08
0.5,100.0,0.2,100.0,0.0,0.0
2.4,58.2,0.7,61.3,-3.08,0.02
0.4,65.5,3.9,87.0,-21.46,0.01
26.2,12.3,8.2,7.8,4.47,2.14
630.2,68.8,8.0,64.7,4.12,50.69
38.0,21.1,12.2,18.8,2.28,4.65
3.7,28.9,0.0,54.6,-25.73,0.0
2.1,63.6,1.0,50.0,13.61,0.02
102.3,11.1,1.5,9.3,1.83,1.54
12.5,66.5,8.4,66.5,0.05,1.04
28.5,85.2,85.1,69.4,15.8,24.23
2.7,24.6,20.9,23.8,0.8,0.57
16.3,36.2,4.0,30.5,5.67,0.66
40.6,43.6,35.1,29.7,13.85,14.24
0.1,0.4,0.0,3.7,-3.31,0.0
146.2,20.4,18.4,14.6,5.76,26.85
0.2,1.6,1.6,30.7,2.04,0.0
37.1,18.2,13.8,15.7,2.49,5.11
0.1,1.1,1.1,30.7,2.04,0.0
36.0,0.0,0.0,30.7,2.04,0.0
0.6,33.6,33.6,30.7,2.04,0.19
3.5,59.5,8.4,50.9,8.55,0.29
76.7,1.1,0.9,0.3,0.79,0.69
0.5,80.2,0.0,67.7,12.51,0.0
10.6,59.2,27.2,68.5,-9.32,2.9
0.2,3.5,3.5,3.8,-0.27,0.01
2.1,11.5,11.5,7.9,3.59,0.24
1452.2,21.7,11.0,15.1,6.62,160.4
1.0,13.6,0.3,8.4,5.25,0.0
120.4,33.8,4.4,33.0,0.75,5.35
0.7,100.0,2.3,30.7,2.04,0.02
299.5,47.1,44.5,27.4,19.68,133.37
0.7,54.6,30.4,53.6,1.01,0.2
9.6,35.6,5.1,32.5,3.13,0.49
5.0,28.6,3.9,32.7,-4.09,0.2
1.9,41.3,2.4,59.7,-18.4,0.04
8.4,50.1,2.2,47.7,2.4,0.18
70.9,83.9,20.0,80.0,3.93,14.17
0.1,14.9,14.9,9.1,5.76,0.01
14.3,55.2,1.0,65.7,-10.45,0.14
0.3,4.4,4.4,30.7,2.04,0.02
4.6,0.0,0.0,0.1,-0.06,0.0
0.9,33.3,33.3,20.0,13.26,0.31
4050.8,20.9,13.7,14.0,6.91,555.89
4.0,20.8,1.0,23.8,-2.97,0.04
13.6,68.2,1.6,54.5,13.72,0.22
0.5,19.0,19.0,30.7,-11.72,0.09
162.8,17.9,1.4,10.4,7.46,2.35
3.2,34.0,15.2,19.7,14.34,0.48
5.8,4.9,1.4,5.6,-0.68,0.08
46.9,0.0,0.0,30.7,2.04,0.01
1.6,88.8,6.3,99.1,-10.35,0.1
243.3,24.6,18.4,14.4,10.23,44.78
14.2,100.0,4.1,100.0,-0.04,0.59
0.0,0.0,0.0,30.7,2.04,0.0
51.8,47.7,17.7,41.3,6.38,9.16
549.9,7.6,6.3,2.1,5.47,34.51
1.1,82.8,3.8,86.1,-3.29,0.04
0.1,0.0,0.0,30.7,2.04,0.0
0.1,17.2,0.7,16.1,1.14,0.0
3.0,58.2,0.4,45.0,13.18,0.01
362.4,0.1,0.1,0.0,0.12,0.44
0.4,43.4,16.7,61.6,-18.17,0.06
0.0,25.7,25.7,30.7,2.04,0.01
16.1,85.0,0.1,73.8,11.21,0.02
69.7,67.1,1.4,69.4,-2.3,0.98
6.5,9.9,8.5,3.3,6.61,0.56
17.2,37.3,1.8,36.7,0.59,0.32
20.4,93.1,0.0,98.5,-5.45,0.0
1027.5,19.7,0.6,16.9,2.8,6.37
12.2,75.4,28.1,61.7,13.73,3.44
7601.2,29.2,11.4,25.0,4.21,865.29
16.0,87.0,1.4,97.1,-10.14,0.23
19.5,4.6,3.9,4.2,0.44,0.77
33.1,42.4,38.7,29.7,12.66,12.81
0.1,29.7,0.1,33.1,-3.4,0.0
9.2,99.9,0.6,99.8,0.15,0.06
48.9,100.0,0.0,100.0,0.0,0.0
0.2,0.0,0.0,30.7,2.04,0.0
30.0,64.4,0.3,96.5,-32.11,0.1
0.1,23.5,1.3,25.5,-2.02,0.0
3.0,13.5,1.5,14.4,-0.92,0.05
8.6,0.1,0.1,30.7,2.04,0.01
0.5,1.0,1.0,2.0,-0.99,0.01
0.5,0.0,0.0,30.7,2.04,0.0
75.2,15.6,11.1,12.1,3.49,8.32
1.8,3.8,3.8,30.7,2.04,0.07
8.4,64.3,0.7,77.0,-12.67,0.06
137.8,27.1,9.5,30.7,-3.64,13.02
31.7,0.0,0.0,30.7,2.04,0.01
272.9,17.7,10.9,11.2,6.52,29.74
0.1,2.4,2.4,30.7,2.04,0.0
2.1,0.2,0.2,30.7,2.04,0.0
20.5,3.9,3.6,3.0,0.95,0.75
18.4,100.0,32.4,100.0,-0.02,5.97
7.3,24.6,0.3,29.6,-5.03,0.02
31.4,0.0,0.0,0.0,0.03,0.01
0.5,5.3,5.3,1.0,4.27,0.02
68.9,67.4,8.5,65.4,2.04,5.85
118.7,29.1,29.1,14.7,14.43,34.53
86.3,29.8,28.3,23.8,5.98,24.41
5.2,14.3,8.3,11.1,3.24,0.43
11.0,75.9,0.8,78.9,-3.02,0.09
60.2,10.8,0.0,21.5,-10.68,0.01
44.8,81.0,27.4,80.8,0.18,12.26
0.6,0.7,0.7,0.6,0.12,0.0
21.2,0.0,0.0,0.0,0.0,0.0
0.0,33.3,33.3,47.4,-14.12,0.01
18.9,10.9,5.4,12.2,-1.28,1.01
20.0,3.9,0.6,2.8,1.14,0.13
9.6,24.9,0.9,30.7,2.04,0.08
0.3,5.0,5.0,1.4,3.57,0.02
214.1,28.2,3.9,37.9,-9.7,8.38
0.2,91.4,4.8,62.9,28.55,0.01
1.1,10.6,0.0,45.9,-35.32,0.0
4.7,13.3,13.3,9.2,4.05,0.63
33.0,17.9,17.2,11.6,6.3,5.67
9.0,100.0,0.0,100.0,0.0,0.0
5.9,71.2,47.0,58.4,12.81,2.79
0.4,0.9,0.9,30.7,2.04,0.0
15.8,98.3,48.7,89.1,9.18,7.69
7.4,33.5,2.2,35.3,-1.83,0.16
0.0,0.0,0.0,30.7,2.04,0.0
0.2,99.4,0.0,86.2,13.18,0.0
1.1,48.0,5.6,50.0,-1.97,0.06
136.3,6.5,2.9,4.6,1.86,3.95
